nombre,Fecha,data
x1,01/01/2006,6.05
x1,02/01/2006,4.72
x1,03/01/2006,4.46
x1,04/01/2006,34.74
x1,05/01/2006,1.91
x1,06/01/2006,7.64
x1,07/01/2006,17.66
x1,08/01/2006,13.02
x1,09/01/2006,13.9
x1,10/01/2006,7.59
x1,11/01/2006,4.98
x1,12/01/2006,9.92
x1,13/01/2006,13.21
x1,14/01/2006,1.31
x1,15/01/2006,7.3
x1,16/01/2006,9.77
x1,17/01/2006,8.42
x1,18/01/2006,12.11
x1,19/01/2006,11.61
x1,20/01/2006,9.59
x1,21/01/2006,3.67
x1,22/01/2006,12.1
x1,23/01/2006,-3.81
x1,24/01/2006,2.94
x1,25/01/2006,9.3
x1,26/01/2006,8.56
x1,27/01/2006,7.62
x1,28/01/2006,1.91
x1,29/01/2006,13.79
x1,30/01/2006,1.19
x1,31/01/2006,10.85
x1,01/02/2006,7.43
x1,02/02/2006,11.32
x1,03/02/2006,2.31
x1,04/02/2006,4.68
x1,05/02/2006,6.56
x1,06/02/2006,4.4
x1,07/02/2006,4.2
x1,08/02/2006,11.07
x1,09/02/2006,6.37
x1,10/02/2006,3.65
x1,11/02/2006,-1.41
x1,12/02/2006,6.77
x1,13/02/2006,7.18
x1,14/02/2006,4.04
x1,15/02/2006,0.65
x1,16/02/2006,6.15
x1,17/02/2006,5.4
x1,18/02/2006,4.39
x1,19/02/2006,6.51
x1,20/02/2006,16.42
x1,21/02/2006,2.97
x1,22/02/2006,1.84
x1,23/02/2006,5.64
x1,24/02/2006,10.53
x1,25/02/2006,16.53
x1,26/02/2006,1.71
x1,27/02/2006,3.11
x1,28/02/2006,5.27
x1,01/03/2006,6.17
x1,02/03/2006,4.95
x1,03/03/2006,-1.91
x1,04/03/2006,8.92
x1,05/03/2006,-1.76
x1,06/03/2006,0.34
x1,07/03/2006,1.49
x1,08/03/2006,-0.26
x1,09/03/2006,10.81
x1,10/03/2006,4.57
x1,11/03/2006,3.3
x1,12/03/2006,4.52
x1,13/03/2006,2.06
x1,14/03/2006,2.79
x1,15/03/2006,-3.29
x1,16/03/2006,1.36
x1,17/03/2006,8.37
x1,18/03/2006,4.6
x1,19/03/2006,0.79
x1,20/03/2006,-2.57
x1,21/03/2006,5.49
x1,22/03/2006,3.99
x1,23/03/2006,2.37
x1,24/03/2006,5.93
x1,25/03/2006,11.38
x1,26/03/2006,2.77
x1,27/03/2006,-1.98
x1,28/03/2006,6.93
x1,29/03/2006,2.22
x1,30/03/2006,-1.94
x1,31/03/2006,6.81
x1,01/04/2006,20.4
x1,02/04/2006,1.78
x1,03/04/2006,5.65
x1,04/04/2006,7.11
x1,05/04/2006,4.35
x1,06/04/2006,3.43
x1,07/04/2006,7.12
x1,08/04/2006,6.77
x1,09/04/2006,2.08
x1,10/04/2006,5.78
x1,11/04/2006,5.11
x1,12/04/2006,-19.93
x1,13/04/2006,24.54
x1,14/04/2006,1.78
x1,15/04/2006,0.55
x1,16/04/2006,5.88
x1,17/04/2006,-3.09
x1,18/04/2006,1.32
x1,19/04/2006,6.4
x1,20/04/2006,3.88
x1,21/04/2006,3.74
x1,22/04/2006,0.99
x1,23/04/2006,0.89
x1,24/04/2006,13.13
x1,25/04/2006,5.51
x1,26/04/2006,6.59
x1,27/04/2006,3.92
x1,28/04/2006,3.95
x1,29/04/2006,-0.64
x1,30/04/2006,5.87
x1,01/05/2006,9.54
x1,02/05/2006,-0.03
x1,03/05/2006,9.16
x1,04/05/2006,-11.16
x1,05/05/2006,4.18
x1,06/05/2006,3.33
x1,07/05/2006,14.21
x1,08/05/2006,12.18
x1,09/05/2006,-20.43
x1,10/05/2006,52.2
x1,11/05/2006,-8.01
x1,12/05/2006,8.6
x1,13/05/2006,-6.48
x1,14/05/2006,11.15
x1,15/05/2006,0.75
x1,16/05/2006,7.42
x1,17/05/2006,3.53
x1,18/05/2006,-0.84
x1,19/05/2006,7.14
x1,20/05/2006,8.79
x1,21/05/2006,11.85
x1,22/05/2006,3.85
x1,23/05/2006,8.56
x1,24/05/2006,28.26
x1,25/05/2006,34.85
x1,26/05/2006,10.21
x1,27/05/2006,11.77
x1,28/05/2006,17.06
x1,29/05/2006,25.54
x1,30/05/2006,18.23
x1,31/05/2006,39.8
x1,01/06/2006,29.75
x1,02/06/2006,23.36
x1,03/06/2006,28.17
x1,04/06/2006,26.82
x1,05/06/2006,51.11
x1,06/06/2006,42.48
x1,07/06/2006,39.79
x1,08/06/2006,83.73
x1,09/06/2006,134.7
x1,10/06/2006,65.05
x1,11/06/2006,57.63
x1,12/06/2006,27.88
x1,13/06/2006,32.69
x1,14/06/2006,85.83
x1,15/06/2006,106.36
x1,16/06/2006,137.27
x1,17/06/2006,85.28
x1,18/06/2006,66.87
x1,19/06/2006,27.16
x1,20/06/2006,45.44
x1,21/06/2006,47.25
x1,22/06/2006,45.85
x1,23/06/2006,52.38
x1,24/06/2006,49.54
x1,25/06/2006,65.19
x1,26/06/2006,49.32
x1,27/06/2006,58.57
x1,28/06/2006,65.68
x1,29/06/2006,43.76
x1,30/06/2006,34.89
x1,01/07/2006,37.12
x1,02/07/2006,30.89
x1,03/07/2006,26.97
x1,04/07/2006,25.98
x1,05/07/2006,22.15
x1,06/07/2006,27.03
x1,07/07/2006,20.41
x1,08/07/2006,65.24
x1,09/07/2006,50.13
x1,10/07/2006,33.92
x1,11/07/2006,18.33
x1,12/07/2006,39.88
x1,13/07/2006,30.72
x1,14/07/2006,18.07
x1,15/07/2006,32.77
x1,16/07/2006,22.32
x1,17/07/2006,24.81
x1,18/07/2006,19.21
x1,19/07/2006,72.17
x1,20/07/2006,92.22
x1,21/07/2006,137.44
x1,22/07/2006,178.55
x1,23/07/2006,136.19
x1,24/07/2006,79.23
x1,25/07/2006,73.3
x1,26/07/2006,64.9
x1,27/07/2006,50.36
x1,28/07/2006,33.06
x1,29/07/2006,58.06
x1,30/07/2006,54.47
x1,31/07/2006,62.79
x1,01/08/2006,61.87
x1,02/08/2006,56.18
x1,03/08/2006,62.42
x1,04/08/2006,51.32
x1,05/08/2006,79.29
x1,06/08/2006,50.5
x1,07/08/2006,46.35
x1,08/08/2006,39.51
x1,09/08/2006,30.21
x1,10/08/2006,42.95
x1,11/08/2006,27.06
x1,12/08/2006,19.5
x1,13/08/2006,22.71
x1,14/08/2006,45.09
x1,15/08/2006,37.39
x1,16/08/2006,23.88
x1,17/08/2006,20.89
x1,18/08/2006,21.06
x1,19/08/2006,11.01
x1,20/08/2006,17.18
x1,21/08/2006,54.36
x1,22/08/2006,60.15
x1,23/08/2006,54.79
x1,24/08/2006,51.02
x1,25/08/2006,44.12
x1,26/08/2006,34.71
x1,27/08/2006,23.99
x1,28/08/2006,44.1
x1,29/08/2006,39.75
x1,30/08/2006,50.19
x1,31/08/2006,43.14
x1,01/09/2006,37.26
x1,02/09/2006,66.93
x1,03/09/2006,86.25
x1,04/09/2006,114.11
x1,05/09/2006,61.27
x1,06/09/2006,63.76
x1,07/09/2006,70.97
x1,08/09/2006,67.76
x1,09/09/2006,55.2
x1,10/09/2006,62.98
x1,11/09/2006,117.79
x1,12/09/2006,92.35
x1,13/09/2006,96.52
x1,14/09/2006,54.06
x1,15/09/2006,66.52
x1,16/09/2006,58.78
x1,17/09/2006,55.98
x1,18/09/2006,53.98
x1,19/09/2006,67.85
x1,20/09/2006,71.34
x1,21/09/2006,61.42
x1,22/09/2006,66.22
x1,23/09/2006,62.31
x1,24/09/2006,59.96
x1,25/09/2006,58.7
x1,26/09/2006,49.33
x1,27/09/2006,39.8
x1,28/09/2006,51.99
x1,29/09/2006,41.43
x1,30/09/2006,20.76
x1,01/10/2006,35.62
x1,02/10/2006,44.59
x1,03/10/2006,27.6
x1,04/10/2006,46
x1,05/10/2006,40.7
x1,06/10/2006,63.02
x1,07/10/2006,62.07
x1,08/10/2006,74.96
x1,09/10/2006,94.93
x1,10/10/2006,110.42
x1,11/10/2006,100.86
x1,12/10/2006,78.16
x1,13/10/2006,112.09
x1,14/10/2006,83.94
x1,15/10/2006,69.45
x1,16/10/2006,53.74
x1,17/10/2006,36.82
x1,18/10/2006,48.31
x1,19/10/2006,47.45
x1,20/10/2006,36.11
x1,21/10/2006,55.4
x1,22/10/2006,62.27
x1,23/10/2006,105.24
x1,24/10/2006,14.88
x1,25/10/2006,64.22
x1,26/10/2006,43.17
x1,27/10/2006,37.55
x1,28/10/2006,66.65
x1,29/10/2006,51.69
x1,30/10/2006,50.72
x1,31/10/2006,54.87
x1,01/11/2006,37.31
x1,02/11/2006,11.54
x1,03/11/2006,38.18
x1,04/11/2006,43.51
x1,05/11/2006,13.07
